subjectnum,TRIAL_INDEX,catcue,condition,expected,im_h,im_w,searcharray,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,LAST_BUTTON_PRESSED
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,1,600.7,393.2,332,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,2,595.9,391.6,527,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,3,536.5,360.4,254,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,4,531.4,353.4,225,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,5,766.1,333.4,288,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,6,580.8,426.1,197,6
1,19,clock,absent,6,468,640,COCO_train2014_000000127760.jpg,7,7,548.9,351.4,80,6
1,21,clock,absent,6,480,640,COCO_train2014_000000393508.jpg,5,1,602.1,380.4,774,6
1,21,clock,absent,6,480,640,COCO_train2014_000000393508.jpg,5,2,579.7,347.6,227,6
1,21,clock,absent,6,480,640,COCO_train2014_000000393508.jpg,5,3,457.1,382.4,267,6
1,21,clock,absent,6,480,640,COCO_train2014_000000393508.jpg,5,4,377.8,363.2,168,6
1,21,clock,absent,6,480,640,COCO_train2014_000000393508.jpg,5,5,598.8,445.3,105,6
1,22,clock,present,7,640,426,COCO_train2014_000000048063.jpg,3,1,594.9,384.4,879,6
1,22,clock,present,7,640,426,COCO_train2014_000000048063.jpg,3,2,617.3,335.8,498,6
1,22,clock,present,7,640,426,COCO_train2014_000000048063.jpg,3,3,617.2,552.1,221,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,1,599.9,389.2,263,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,2,620.1,389.3,578,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,3,552.9,357.1,367,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,4,654.3,277.5,202,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,5,635.5,414.3,146,6
1,23,clock,absent,6,640,480,COCO_train2014_000000494403.jpg,6,6,652.9,204,242,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,1,605.7,389,278,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,2,606.3,380.7,688,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,3,486.6,381.1,205,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,4,460.1,389.2,67,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,5,710.4,356.1,232,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,6,652.3,325.6,234,6
1,24,clock,absent,6,425,640,COCO_train2014_000000155549.jpg,7,7,585.2,454.2,133,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,1,603.2,390.3,743,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,2,611.5,310.9,243,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,3,750.2,442.3,252,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,4,852.3,336.8,270,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,5,674.5,314.9,142,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,6,552,408.5,235,6
1,26,clock,absent,6,480,640,COCO_train2014_000000472348.jpg,7,7,737.4,499.9,262,6
1,28,clock,present,7,640,424,COCO_train2014_000000391657.jpg,2,1,606.4,393.9,751,7
1,28,clock,present,7,640,424,COCO_train2014_000000391657.jpg,2,2,615.4,314.8,337,7
