subjectnum,TRIAL_INDEX,catcue,condition,expected,im_h,im_w,searcharray,TRIAL_FIXATION_TOTAL,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,LAST_BUTTON_PRESSED
1,14,microwave,absent,6,640,480,COCO_train2014_000000142896.jpg,5,1,615.6,400.8,759,6
1,14,microwave,absent,6,640,480,COCO_train2014_000000142896.jpg,5,2,632.1,368.7,239,6
1,14,microwave,absent,6,640,480,COCO_train2014_000000142896.jpg,5,3,635.9,259,196,6
1,14,microwave,absent,6,640,480,COCO_train2014_000000142896.jpg,5,4,491.1,408,236,6
1,14,microwave,absent,6,640,480,COCO_train2014_000000142896.jpg,5,5,718.9,430,66,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,1,612.3,400,418,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,2,602.3,375.4,332,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,3,530,443.5,110,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,4,688,535,216,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,5,708.6,494.7,143,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,6,650.1,262.3,148,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,7,544.7,232.8,204,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,8,521.4,195.6,220,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,9,820.4,203.4,307,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,10,793.8,214.6,343,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,11,898.6,247.3,174,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,12,541.6,243.8,374,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,13,800,217.4,586,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,14,467.6,603.6,142,6
1,15,microwave,present,7,640,612,COCO_train2014_000000516439.jpg,15,15,377.1,640.4,150,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,1,614.6,404.5,124,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,2,604.1,400.7,355,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,3,592.6,349.1,236,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,4,638.5,399.6,200,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,5,444.7,411.1,228,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,6,450.8,379.9,268,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,7,726.3,319.8,164,6
1,16,microwave,absent,6,425,640,COCO_train2014_000000420300.jpg,8,8,441.4,360,307,6
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,1,609.8,400.2,801,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,2,478.9,291.9,122,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,3,438.3,249.8,181,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,4,463.1,200.8,191,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,5,523.9,196,237,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,6,473.6,196.5,122,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,7,471.8,521.3,485,7
1,17,microwave,present,7,576,640,COCO_train2014_000000247269.jpg,8,8,812.9,526.8,141,7
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,1,611,399.9,717,6
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,2,575.6,341,148,6
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,3,589.1,216.6,157,6
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,4,445.3,392.1,365,6
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,5,487,246.7,117,6
1,18,microwave,present,7,640,427,COCO_train2014_000000443646.jpg,6,6,817.2,361.9,210,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,1,615.8,405.8,745,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,2,686.8,392.5,103,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,3,494.6,510.5,156,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,4,416.4,408.6,185,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,5,519.1,489.1,212,6
1,19,microwave,absent,6,426,640,COCO_train2014_000000212082.jpg,6,6,674.6,395.3,92,6
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,1,619.6,399.1,778,.
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,2,555,428.7,182,.
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,3,484.5,404,141,.
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,4,741.4,610.4,76,.
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,5,679,207.2,209,.
1,21,microwave,absent,6,640,480,COCO_train2014_000000150017.jpg,6,6,668,183.1,191,.
1,22,microwave,absent,6,640,480,COCO_train2014_000000183888.jpg,5,1,617,403.1,287,6
1,22,microwave,absent,6,640,480,COCO_train2014_000000183888.jpg,5,2,615.9,397.3,497,6
1,22,microwave,absent,6,640,480,COCO_train2014_000000183888.jpg,5,3,632.6,328.9,264,6
1,22,microwave,absent,6,640,480,COCO_train2014_000000183888.jpg,5,4,673.7,306.4,329,6
1,22,microwave,absent,6,640,480,COCO_train2014_000000183888.jpg,5,5,600.9,511.6,88,6
1,23,microwave,present,7,640,427,COCO_train2014_000000407289.jpg,4,1,606,402.1,727,7
1,23,microwave,present,7,640,427,COCO_train2014_000000407289.jpg,4,2,605.2,369.1,163,7
1,23,microwave,present,7,640,427,COCO_train2014_000000407289.jpg,4,3,467.5,313,239,7
1,23,microwave,present,7,640,427,COCO_train2014_000000407289.jpg,4,4,452.7,271,101,7
1,24,microwave,absent,6,475,640,COCO_train2014_000000443875.jpg,5,1,607.4,401.5,545,.
1,24,microwave,absent,6,475,640,COCO_train2014_000000443875.jpg,5,2,578.9,376.4,193,.
1,24,microwave,absent,6,475,640,COCO_train2014_000000443875.jpg,5,3,382.8,354.3,192,.
1,24,microwave,absent,6,475,640,COCO_train2014_000000443875.jpg,5,4,691.8,375.8,178,.
1,24,microwave,absent,6,475,640,COCO_train2014_000000443875.jpg,5,5,896.7,388.7,122,.
1,25,microwave,absent,6,512,640,COCO_train2014_000000257946.jpg,4,1,612.7,400.2,282,6
1,25,microwave,absent,6,512,640,COCO_train2014_000000257946.jpg,4,2,604.5,394.8,549,6
1,25,microwave,absent,6,512,640,COCO_train2014_000000257946.jpg,4,3,667.2,467.4,165,6
1,25,microwave,absent,6,512,640,COCO_train2014_000000257946.jpg,4,4,665.8,417.3,149,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,1,609.3,398.6,509,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,2,601,386.6,194,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,3,648.7,327.6,156,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,4,801.8,364.9,77,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,5,641.8,180.7,126,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,6,848.9,337.5,524,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,7,845.4,328,220,6
1,27,microwave,absent,6,640,469,COCO_train2014_000000093832.jpg,8,8,634,234.4,212,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,1,608.3,398.8,263,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,2,601.4,386,589,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,3,803.4,411.9,183,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,4,694.9,330.7,265,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,5,529.8,412.6,186,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,6,887.4,491,125,6
1,28,microwave,absent,6,427,640,COCO_train2014_000000144703.jpg,7,7,927.7,464.7,169,6
1,29,microwave,present,7,640,427,COCO_train2014_000000453857.jpg,4,1,603.9,400.6,390,7
1,29,microwave,present,7,640,427,COCO_train2014_000000453857.jpg,4,2,621.4,373.6,352,7
1,29,microwave,present,7,640,427,COCO_train2014_000000453857.jpg,4,3,583.5,311,172,7
1,29,microwave,present,7,640,427,COCO_train2014_000000453857.jpg,4,4,630.8,273.1,133,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,1,609.7,400.2,229,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,2,600.5,401.1,112,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,3,597.7,389.3,396,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,4,429,396.7,125,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,5,852.3,411.7,203,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,6,592.7,313.3,111,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,7,855.7,436.8,204,7
1,31,microwave,present,7,428,640,COCO_train2014_000000464271.jpg,8,8,905,443.4,278,7
1,32,microwave,absent,6,427,640,COCO_train2014_000000365313.jpg,5,1,606.3,404.6,248,6
1,32,microwave,absent,6,427,640,COCO_train2014_000000365313.jpg,5,2,610.9,401.1,409,6
1,32,microwave,absent,6,427,640,COCO_train2014_000000365313.jpg,5,3,547.3,402.8,125,6
1,32,microwave,absent,6,427,640,COCO_train2014_000000365313.jpg,5,4,773.1,407.3,127,6
1,32,microwave,absent,6,427,640,COCO_train2014_000000365313.jpg,5,5,535.7,370.2,299,6
1,33,microwave,absent,6,428,640,COCO_train2014_000000253464.jpg,3,1,606.1,399.5,259,6
1,33,microwave,absent,6,428,640,COCO_train2014_000000253464.jpg,3,2,601.8,396.3,504,6
1,33,microwave,absent,6,428,640,COCO_train2014_000000253464.jpg,3,3,786.8,381,315,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,1,604.2,398.7,322,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,2,601.8,380.3,420,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,3,561.4,320.4,185,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,4,586.9,284.2,196,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,5,586.5,264.5,242,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,6,867.1,292.3,218,6
1,34,microwave,present,7,480,640,COCO_train2014_000000571431.jpg,7,7,912.3,467.9,164,6
1,35,microwave,present,7,480,640,COCO_train2014_000000496196.jpg,5,1,599.6,399.2,782,7
1,35,microwave,present,7,480,640,COCO_train2014_000000496196.jpg,5,2,720.1,417.7,149,7
1,35,microwave,present,7,480,640,COCO_train2014_000000496196.jpg,5,3,675.5,320.5,74,7
1,35,microwave,present,7,480,640,COCO_train2014_000000496196.jpg,5,4,776.4,243.8,158,7
